ltv 1
0:00 | 2016 년, 7월, 28일, 인전국제공항 | July 28th, 2016 - Incheon International Airport
0:06 | 희진 - 이런거 중요하죠! 기본 표현!| Heejin - I think this is important! basic expressions!
0:08 | 급하게 프랑스 회화공부중 | She's studying french conversation urgently...
0:10 | 희진 - 아침에, bonjour. 저녁, bonsoir | Heejin - In the morning - bonjour, at evening - bonsoir
0:13 | 저 좀 잘하지 않아요? | Heejin - I think I'm good, aren't I?
0:15 | 쥬마 벨 희진 | (french: my name is heejin)
0:17 | 피디 - 주변에 프랑스 사람들도 있는거 알지? | PD - do you know there's french people around you?
0:18 | 희진 - 어, 안돼요.. 안돼요! | Heejin - No way... no way!

vocabulary
년 | year | NOUN
월 | month | NOUN
일 | day | NOUN
인전 | Incheon | NOUN
국제 | international | ADJECTIVE
공항 | airport | NOUN
이건 | something like this | ADVERB(?)
중요 | important | NOUN
중요하다 | to be important | VERB
기본 | basic | NOUN
표현 | expression | NOUN
회화 | conversational | NOUN
공부 | study | NOUN
주변 | around | 
프랑스 | France | NOUN
사람 | person | NOUN
사람들 | people | NOUN
있다 | to be | VERB
알다 | to know | VERB
안돼요 | no way, no way that's possible. | EXPRESSION
A 있는거 알지 | did you know A exists? | EXPRESSION
