0:01 | 어느새 프리에 도착한 이달의 소녀 희진 | Heejin just arrived at Paris!
0:03 | 희진 - 숙소로~ 갑니다~ 드디어! | Finally~ We're going to~ our Hotel!
0:06 | 희진 - 말도 안돼~~~~!!! | Heejin - It's unbelieviable!
0:07 | 숙소 창문에서 바로 보이는 에펠탑! | The Eiffel Tower is visible through the window of the hotel!
0:09 | 희진 - 진짜 대박이에요~ | Heejin - It's really amazing~
0:12 | 희진 - 어떡해... | Heejin - What do I do...
0:14 | 희진 - 진짜 저 지금 말이 안아와요 | I really don't know what I should say...

Vocabulary
파리 | Paris | NOUN |
숙소 | Hotel/Lodging | NOUN |
창문 | Window | NOUN |
에팔탑 | Eiffel Tower | NOUN |

진짜 | Really (also used as exclamation) | ADVERB |
어느새 | quickly, so soon, already | ADVERB |
드디어 | finally | ADVERB |

가다 | to go | VERB |
말다 | to say | VERB |
보다 | to see | VERB |

대박 | awesome, incredible | EXPR |
어떡해 | what do I do? | EXPR |
말도 안되다 | unbelieviable (lit: I can't say anything) | EXPR |
말이 안오다 | be at a loss for words | EXPR |
