이달의 소녀 탐구 1 - LOONA TV #1|Heejin|https://www.youtube.com/watch?v=MfqGn-2pW8E#t=|LINK
2016 년, 7월, 28일, 인전국제공항|July 28th, 2016 - Incheon International Airport|0m00s|QUOTE
희진 - 이런거 중요하죠! 기본 표현!|Heejin - I think this is important! basic expressions!|0m06s|QUOTE
급하게 프랑스 회화공부중|She's studying french conversation urgently...|0m08s|QUOTE
희진 - 아침에, bonjour. 저녁, bonsoir|Heejin - In the morning - bonjour, at evening - bonsoir|0m10s|QUOTE
저 좀 잘하지 않아요?|Heejin - I think I'm good, aren't I?|0m13s|QUOTE
쥬마 벨 희진|(french: my name is heejin)|0m15s|QUOTE
피디 - 주변에 프랑스 사람들도 있는거 알지? | PD - do you know there's french people around you?|0m17s|QUOTE
희진 - 어, 안돼요.. 안돼요! | Heejin - No way... no way!|0m18s|QUOTE
년|year|NOUN|DEFINITION
월|month|NOUN|DEFINITION
일|day|NOUN|DEFINITION
공항|airport|NOUN|DEFINITION
인전|Incheon|NOUN|DEFINITION
중요|important|NOUN|DEFINITION
기본|basic|NOUN|DEFINITION
표현|expression|NOUN|DEFINITION
회화|conversational|NOUN|DEFINITION
공부|study|NOUN|DEFINITION
프랑스|France|NOUN|DEFINITION
사람|person|NOUN|DEFINITION
사람들|people|NOUN|DEFINITION
피디|PD/Producer|NOUN|DEFINITION
아침|morning/breakfast|NOUN|DEFINITION
저녁|evening/dinner|NOUN|DEFINITION
국제|international|ADJECTIVE|DEFINITION
주변|around|ADVERB|DEFINITION
조금(좀)|a little|ADVERB|DEFINITION
않다|to not be|VERB|DEFINITION
중요하다|to be important|VERB|DEFINITION
있다|to be|VERB|DEFINITION
알다|to know|VERB|DEFINITION
이런거|something like this|EXPRESSION|DEFINITION
안돼요|no way, no way that's possible.|EXPRESSION|DEFINITION
N 있는거 알지|did you know A exists?|EXPRESSION|DEFINITION
V (은/는)지 않아요?|Aren't I A?|EXPRESSION|DEFINITION
V 중이다|To be in the middle of [verb]|EXPRESSION|DEFINITION
